,title,content
10,809. 한남 유수지 복개주차장 대여소 임시 폐쇄 안내,"809. 한남 유수지 복개주차장 대여소 임시 폐쇄 안내
2021.09.13
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 809. 한남 유수지 복개주차장
사용중단기간 : 2021-09-13 ~ 공사 조치완료 시까지
사용중단사유 : 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
11,4779. 태극당 대여소 영구폐쇄(예정) 알림,"4779. 태극당 대여소 영구폐쇄(예정) 알림
2021.09.10
안녕하세요.
서울 자전거 따릉이입니다.

아래 대여소를 영구 폐쇄할 예정이오니,
이용에 착오 없으시길 바랍니다

- 대여소 : 4779. 태극당
- 기간 : 2021.09.28.(화) 부터
- 철거사유 :  광장경관 저해 및 보행자 통행불편

이용에 불편드려 죄송합니다

※ 불편사항 또는 문의사항 연락처 : 1599-0120"
12,754번 목동1단지118동앞 대여소 보도정비로 인한 임시폐쇄 예정안내,"754번 목동1단지118동앞 대여소 보도정비로 인한 임시폐쇄 예정안내
2021.09.10

안녕하세요 ?


서울 자전거 따릉이입니다



754번.목동1단지118동 앞  대여소는
아래의 사유로 이전 하오니
따릉이 이용에 참고하시기 바랍니다 .
- 기간 : 2021.9.7~10.30사이 공사예정
- 사유 : 구청 보도 정비공사로 인한 임시폐쇄 예정 안내
  이용에 불편드려 죄송합니다 .
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
13,726번 목동3단지 시내버스 정류장앞 대여소 보도정비로 인한 임시폐쇄 예정안내,"726번 목동3단지 시내버스 정류장앞 대여소 보도정비로 인한 임시폐쇄 예정안내
2021.09.10

안녕하세요 ?


서울 자전거 따릉이입니다



726번.목동3단지 시내버스 정류장  대여소는
아래의 사유로 이전 하오니
따릉이 이용에 참고하시기 바랍니다 .
- 기간 : 2021.9.7~10.30사이 공사예정
- 사유 : 구청 보도 정비공사로 인한 임시폐쇄 예정 안내
  이용에 불편드려 죄송합니다 .
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
14,4526번 목동2단지 222동앞 대여소 보도정비 공사로 인한 임시폐쇄 안내예정,"4526번 목동2단지 222동앞 대여소 보도정비 공사로 인한 임시폐쇄 안내예정
2021.09.10

안녕하세요 ?


서울 자전거 따릉이입니다



4526번.목동2단지222동   대여소는
아래의 사유로 이전 하오니
따릉이 이용에 참고하시기 바랍니다 .
- 기간 : 2021.9.7~10.30사이 공사예정
- 사유 : 구청 보도 정비공사로 인한 임시폐쇄 예정 안내
  이용에 불편드려 죄송합니다 .
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
15,2228번 뒷벌공원 옆 대여소 공원으로 이전,"2228번 뒷벌공원 옆 대여소 공원으로 이전
2021.09.10

안녕하세요 ?
서울 자전거 따릉이입니다 .
2228번.뒷벌공원 옆 대여소는
아래의 사유로 이전 하오니
따릉이 이용에 참고하시기 바랍니다 .
- 기간 : 2021.9.15  이후 이전
- 사유 : 주변 보행자 불편 민원 지속 발생으로  공원앞으로 이전안내
  이용에 불편드려 죄송합니다 .
※ 불편사항 또는 문의사항 연락처 : 1599-0120
 "
16,1168번 마곡엠벨리10단지앞 대여소 이전,"1168번 마곡엠벨리10단지앞 대여소 이전
2021.09.10

안녕하세요 ?
서울 자전거 따릉이입니다 .
1168번 마곡엠벨리10단지 앞 대여소는
아래의 사유로 이전 하오니
따릉이 이용에   참고하시기 바랍니다 .
- 기간 : 2021.9.9  이후 이전안내
- 사유 : 보도 가드레일 및 보행자 이용불편 발생으로 이전
  이용에 불편드려 죄송합니다 .
※ 불편사항 또는 문의사항 연락처 : 1599-0120
 "
17,1372. KEB은행 고대점 대여소 임시 폐쇄 안내,"1372. KEB은행 고대점 대여소 임시 폐쇄 안내
2021.09.08
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1372. KEB은행 고대점
사용중단기간 : 2021-09-08 ~ 공사 조치완료 시까지
사용중단사유 : 자전거 거치대 주변 보도블럭 침하로 인한 시민 안전 위험. 


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
18,[안전운행 안내] 내리막길 따릉이 이용주의,"[안전운행 안내] 내리막길 따릉이 이용주의
2021.09.07
내리막길에서는 자전거가 가속되어
위험할 수 있으니 천천히 서행하시고,
가급적 내려서 자전거를 끌고 걸어주시길 바랍니다."
19,1414. 사가정역 1번출구 대여소 임시 폐쇄 안내,"1414. 사가정역 1번출구 대여소 임시 폐쇄 안내
2021.09.02
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1414. 사가정역 1번출구
사용중단기간 : 2021-09-02 ~ 공사 조치완료 시까지
사용중단사유 : 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
20,1160. 양천향교역 7번출구앞 대여소 임시 폐쇄 안내,"1160. 양천향교역 7번출구앞 대여소 임시 폐쇄 안내
2021.08.23
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1160. 양천향교역 7번출구앞
사용중단기간 : 2021-08-23 ~ 공사 조치완료 시까지
사용중단사유 : 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
21,1665. 양지근린공원앞 대여소 임시 폐쇄 안내,"1665. 양지근린공원앞 대여소 임시 폐쇄 안내
2021.08.20
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1665. 양지근린공원앞
사용중단기간 : 2021-08-20 ~ 공사 조치완료 시까지
사용중단사유 : 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
22,1602. 광운대역 앞 대여소 임시 폐쇄 안내,"1602. 광운대역 앞 대여소 임시 폐쇄 안내
2021.08.19
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1602. 광운대역 앞
사용중단기간 : 2021-08-19 ~ 공사 조치완료 시까지
사용중단사유 : 광운대역 일대 보행환경개선지구 조성상업 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
23,306. 광화문역 7번출구 앞 대여소 임시 폐쇄 안내,"306. 광화문역 7번출구 앞 대여소 임시 폐쇄 안내
2021.08.11
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 306. 광화문역 7번출구 앞
사용중단기간 : 2021-08-11 ~ 공사 조치완료 시까지
사용중단사유 :
광화문광장 조성사업 관련 기존 포장 철거공사 시행
* 재개통 여부는 장소 협의 후 진행예정입니다 . 
장소확보가 어려운 경우 영구폐쇄 될 예정입니다 .


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
24,2905. 중계주공6단지 대여소 영구폐쇄 안내,"2905. 중계주공6단지 대여소 영구폐쇄 안내
2021.07.27
안녕하세요?
서울 자전거 따릉이입니다.

아래 대여소를 영구 폐쇄하오니
이용에 착오 없으시길 바랍니다.

임시 폐쇄(예정)대여소 : 2905.중계주공6단지
사용중단기간 : 2021-08-10 ~ 영구폐쇄
사용중단사유 : 보행 불편 및 안전 사고 문제


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
